Date/Time	City	State	Shape	Duration	Summary	Posted
3/15/15 20:30	Fishkill	NY	Cross	20 minutes	While leaving work saw this cross shaped objected floating in the air with LED Type bright lights and green lights. After 20 mins it tu	3/20/15
3/15/15 20:20	Truckee	CA	Light	5-8 minutes	Group of lights with rapid movent and chasing	3/20/15
3/15/15 14:30	Tucson	AZ	Light	1-2 minutes	Football-shaped, blinding white, light in clear, sunny sky appearing and disappearing in high wind as slowly, steadily flying east.	3/20/15
3/15/15 12:50	Jackson	TN	Cigar	1 minute	Daytime sighting above Jackson, TN, of cigar-shaped metallic object flying north over I-40.	3/20/15
3/15/15 12:30	Nashville	TN	Cigar	2 minutes	Thick white line UFO with round light on end seen floating over Nashville, TN.  ((NUFORC Note:  Contrail??  PD))	3/20/15
3/15/15 12:00	Clifton	NJ	Circle	5 minutes	the objects don't left any trail	4/17/15
3/15/15 12:00	Surprise (75 miles north of)	AZ	Oval	picture	Round disk flat bottom with a white aura around it.	7/3/15
3/15/15 06:00	Hartly	DE	Triangle	15 seconds	Three triangular shaped objects directly above my driveway in forest grove park. I was pulling in the driveway with my dad and I was in	4/17/15
3/15/15 03:05	Toledo	OH	Flash	10 seconds	Green lights over the sky of Toledo, Ohio.	3/20/15
3/15/15 01:30	Cherry Hill	NJ	Light	45 seconds	I witnessed 7 lights moving at a very high rate of speed going North West across the sky.	3/20/15
3/15/15 00:15	Bradford (Canada)	ON	Triangle	1 hour	Three objects King City area. Two triangular, one flat. Very bright lights on two. One stationary, two moving East to West.	3/20/15
3/14/15 23:00	Maywood	CA	Disk	5 minutes	Three lights on bottom.  Atmosphere changes once closer to sky.  Moves at certain rate.	3/20/15
3/14/15 22:45	Lake Geneva	WI	Unknown	2 minutes	Loud, long, low pitched rumbling over Geneva Lake, WI.	3/20/15
3/14/15 22:15	Norfolk	NE	Rectangle	45 seconds	Dark rectangle with tan squares no lights heading south to north no noise low enough I could see tan on the bottom.	3/20/15
3/14/15 21:30	Woodstock	GA	Light	5 minutes	Woodstock, GA, 4 lights.	3/20/15
3/14/15 21:00	Kendall	NY	Sphere	45 seconds	A grey spherical UFO with flashing lights flew across the sky lightning fast about 200 yards from me.	3/20/15
3/14/15 21:00	North Hero	VT	Sphere	4 minutes on 3 occasions	3 orange spheres in the sky then 2 then 2 more darting around with 90 degree terns then slowly faiding away.	3/20/15
3/14/15 20:30	Chandler	AZ	Triangle	15 seconds	Triangle shaped UFO hovers over Ostrich Festival.	4/30/15
3/14/15 20:15	Shady Grove	TX	Circle	~1 minute	7 lights in south and 2 in west sky.	3/20/15
3/14/15 20:00	Phoenix	AZ	Circle	2-3 minutes	Large round bright circle moving behind cloud.	3/20/15
3/14/15 20:00	Lilburn	GA	Light	~5 minutes	12 very bright orange lights low in the sky over Lilburn middle school. The group of lights changed formation several times.	3/20/15
3/14/15 19:40	North Lauderdale	FL	Circle	5 minutes	There was an orange-red sphere with 2 orange-red streaks coming off the back of it.  It appeared to be falling out of the sky.  I got i	3/20/15
3/14/15 19:00	Coal Township	PA	Unknown	30 seconds	Bright green glow on everything outside my window, with a loud humming that vibritated all around me.	8/13/15
3/14/15 19:00	Oklahoma City	OK	Unknown	10 minutes	White, red, and green lights hover over OKC.	3/20/15
3/14/15 17:00	Den Helder (Netherlands)		Cigar	2 minutes	Cigar shaped orange light moved fast and disappeared in Amsterdam, Netherlands.	3/20/15
3/14/15 16:32	Nacogdoches	TX	Light	8 minutes	Flying lights over Nacogdoches, TX.	3/20/15
3/14/15 15:30	Naples	FL	Diamond	15 minutes	Black diamond shaped object slowly moving in the sky.	3/20/15
3/14/15 09:40	Minneapolis	MN	Disk	3 minutes	Object in sky with two cone lights shining down.	3/20/15
3/14/15 05:00	Bayonne	NJ	Circle	1 minute	I seen a round craft with lights, and a bubble on top center without sound.	3/20/15
3/14/15 01:00	Lasalle (Canada)	ON	Disk		((HOAX??))  Flashing lights.	3/20/15
3/14/15 00:20	Coleman	TX	Light	>1 hour	Jagged and erratic movement and hovering!	3/20/15
3/14/15 00:10	Sioux Falls	SD	Chevron	2	Looked like a silent flying boomerang shaped thing with perfectly spaced lights underneath it flying in straight direction.	3/20/15
3/13/15 23:50	Astoria	OR	Circle	3 minutes	Glowing red object. Looked like several lights to naked eye. Photo weird.	9/25/15
3/13/15 23:00	Unspecified	ME	Triangle	10 seconds	A triangle of lights low in the sky. Moving very slowly. Possibly Still.	9/25/15
3/13/15 21:45	Mesa	AZ	Flash	10 seconds	((HOAX??))  Bright green light shaped like a done lit up the sky for about 10 seconds.  House lights dimmed for a few seconds.	3/20/15
3/13/15 21:30	Miami	TX	Triangle	5 minutes	3 white lights in the shape of a triangle, observed for 5minutes	3/20/15
3/13/15 21:18	New Haven	CT	Light	4:00	White light thought was a star until it moved slowly then shot off into space.	3/20/15
3/13/15 21:00	Manville	NJ	Circle	15 minutes	Circle Manville, NJ, 03/13/15, red and white lights	3/20/15
3/13/15 21:00	Chugiak	AK	Light	5 minutes	2 sets of lights  one solid red one oval shape light.	3/20/15
3/13/15 18:00	Denver	CO	Triangle	15 minutes	Triangular craft.	3/20/15
3/13/15 08:25	Charlottesville	VA	Triangle	1 minute	Triangle of white lights above trees.  Silent and perfectly still.  Central red blinking light.  Vanished within a few seconds.	3/20/15
3/13/15 08:15	Hanover	PA	Cone	10	Strange object observed hovering for 10 minutes in sky over south-central PA.	3/20/15
3/13/15 07:30	Kenosha	WI	Cigar	20 seconds	Cigar shaped silvery white object with no wings flew silently across sky into cloud cover from north to south.	3/13/15
3/13/15 07:00	Fort Wayne	IN	Circle	10	After dropping my son off at school I was traveling east on aboit's center road when I observed a hughe object hovering in the sky with	3/20/15
3/13/15 06:14	Medford	NY	Light	5 minutes	On 3/14 from 4:05AM - 4:38AM I saw a white light that moved forward, hovered for a second or two and then back tracked and hovered agai	3/13/15
3/13/15 05:38	Phoenix	AZ	Light	20 minutes	2 beeps, 8 beeps,  light hovering, blurry eyes, ufo dream, alarm didnt go off.	3/13/15
3/13/15 01:56	Coal Township (Excelsior)	PA	Triangle		5 separate hovering star shaped lights for over 15 minutes and still there at this time.	3/13/15
3/12/15 23:40	Lexington Park	MD	Triangle	3 minutes	Black Triangle UFO silently cruising over at 400-500 feet.	3/13/15
3/12/15 23:30	Miami Lakes	FL	Disk	2 Minutes	A static bright red light caught my attention.  Object changed color from red to white, revealing object's shape as a flying disk.	4/17/15
3/12/15 23:30	Miami Lakes	FL	Disk	2 minutes	As I was driving home at around 23:30 or 11:30 PM, a static bright red light caught my attention at about a kilometer ahead. The object	4/17/15
3/12/15 23:30	Miami Lakes	FL	Disk	2 minutes	Bright red light that changed color to reveal object's shape as flying disk. Disappeared without leaving any trace.	4/17/15
3/12/15 23:30	Miami Lakes	FL	Disk	2 minutes	Bright red light in the sky that had the shape of a flying saucer.	4/17/15
3/12/15 23:00	Coral Springs	FL	Fireball	5+ minutes	An orange colored comet flew through the night sky.	3/13/15
3/12/15 22:45	South Daytona	FL	Fireball	2 minutes	Orange ball in the sky with flashing strobe lights.	3/13/15
3/12/15 22:00	Baltimore	MD	Fireball	15-25 seconds		3/20/15
3/12/15 22:00	Stevensville	MT	Other	10-15 minutes	Growing concentric clouds with object moving in the center of the clouds very very slowly.	3/13/15
3/12/15 21:30	Kingston (Canada)	ON	Circle	40 minutes	Star-like round object hovers for 20 minutes, then takes off crazy fast.	3/13/15
3/12/15 21:30	Baltimore	MD	Formation	30 seconds	Flight of 9 to 12 amberish lights traveling south to north in a 3 chevron formation with wandering companions.	3/13/15
3/12/15 21:23	Waterbury	CT	Triangle	0:0:30	Hovered then followed straight path SE, with a quiet humming noise.	3/13/15
3/12/15 21:16	Fallon	NV	Unknown	4 minutes	Pinpoint of light, surrounded by sphere of growing white mist, just below Jupiter.  ((NUFORC Note:  Missile fuel dump??  PD))	3/13/15
3/12/15 21:15	Carlsbad	CA	Circle	2 minutes	"""Fuzzy"" star grows larger and fainter until finally vanishing."	3/20/15
3/12/15 21:00	Spring Branch	TX	Unknown	5 minutes	Three lights aligned together in right formation. Very slow moving while producing a humming sound.	3/13/15
3/12/15 21:00	San Antonio	TX	Teardrop	2+	2 objects one teardrop yellow center green, red outer layer and another small light hovering multi colored	3/13/15
3/12/15 21:00	Kansas City	MO	Fireball	5 minutes	Parkville, MO, very bright fireball landing slowly.	3/13/15
3/12/15 20:40	Las Vegas	NV	Circle	3 minutes	I was outside smoking and looked up and saw a circle as big as the moon looks but it was clear and blurry as though it was above the cl	3/13/15
3/12/15 20:20	Walla Walla	WA	Triangle	20 seconds	Triangle craft Solid  white front light 2 solid lights in the rear 1 solid red light in the middle  extremely low.	3/13/15
3/12/15 20:15	Merrimack	NH	Chevron	3 minutes	Large chevron shaped object flew over car. Was dark red, green and dark grey in color..Had no blinking lights and moved very slowly.	3/13/15
3/12/15 20:10	Walla Walla	WA	Triangle	2 minutes	Large triangle over Walla Walla	3/20/15
3/12/15 20:00	Chicopee	MA	Fireball	5 seconds	Probably just a meteor, had a long white tail .	3/13/15
3/12/15 19:30	Pasco	WA	Sphere	3-5 minutes	Bright red light seen when on top of a hill.  Over a medium sized city. Too big to be a flare. Hit the ground somewhere.	3/13/15
3/12/15 19:00	Weymouth	MA	Light	hour	"Bright star looking object that pluses light moving constantly.  ((NUFORC Note:  Sighting of ""twinkling"" star??  PD))"	3/13/15
3/12/15 16:30	Bayville	NJ	Circle	10 minutes	On back porch with wife, looked up and said wow those birds are really high.  The sky was completely blue with no clouds.	3/13/15
3/12/15 12:25	San Jose	CA	Changing	60 seconds	((HOAX??))  MASSIVE UFO SIZE OF TWO SKYSCRAPERS APPEARS!!	3/13/15
3/12/15 12:20	San Jose	CA	Other	10 seconds	((HOAX??))  Massive spaceship spotted above San Jose....	3/26/15
3/12/15 10:08	Burbank	CA	Rectangle	2 minutes	Very black rectangular craft seen for over one minute, over the 134 Fwy in Burbank, California.	3/13/15
3/12/15 08:21	Red Rock Canyon	NV	Formation	5 minutes	((HOAX??)) 3 flashing and moving objects over Red Rock Canyon.	3/13/15
3/12/15 06:08	Brighton	CO	Light		A very big Bright light passed me and other cars on rd 168th going west at 6:08 am . It was it traveling very very fast and big in size	3/13/15
3/12/15 05:49	Old Tappan	NJ	Triangle	20 seconds	never seen this before	3/13/15
3/12/15 05:00	Fereydunkenar (Iran)		Fireball	20	Strange fireball has been crashed in the Caspian Sea.	3/13/15
3/12/15 03:40	Sharon	CT	Circle	3 minutes	Sharon, CT, sphere; 3 minutes; bright lights after leaving ground, 3/12/15.	3/26/15
3/12/15	Raleigh	NC	Changing	2 hours	"We noticed a strange object in the sky making all kinds of movements.   ((NUFORC Note:  Possible ""twinkling"" star??  PD))"	3/13/15
3/11/15 23:30	Streamwood	IL	Light	23:30 till present time 0	A light I have never seen before in that area.  ((NUFORC Note:  Possible sighting of a celestial body?  PD))	3/13/15
3/11/15 23:30	Chicago	IL			At about 11:30pm on 03/11/2015 I heard a high pitched noise above my house. A noise I've never heard before. So I looked in the way I h	3/13/15
3/11/15 23:30	Reading	PA	Flash	Moving star	Wishing on a star.  Moving star.	3/13/15
3/11/15 22:45	Beacon	NY	Cross	30 seconds	Low flying craft over rural city.	3/13/15
3/11/15 22:35	Philadelphia	PA	Circle	10 minutes	Two green lights side by side moving in unison; apparently a single craft, gradually changing to red, then green, then vanished.	3/13/15
3/11/15 22:30	Massillon	OH	Cigar	2 minutes	Massillon, Ohio.	3/13/15
3/11/15 22:15	Yoder	CO	Sphere	1 minute	Blue translucent orb.	3/20/15
3/11/15 22:00	Hagerstown	MD	Changing	20 minutes	Pulsating very large, bright object sighted low in night sky.  ((NUFORC Note:  Possible sighting of Sirius??  PD))	3/13/15
3/11/15 21:49	Rockville	MD	Fireball	2 seconds	A mysterious streak of light appeared like a shooting star.  Very fast, then disappeared instantaneously.  Multi-colored lights.	11/6/15
3/11/15 21:45	Conway	AR	Rectangle	~5 minutes	Strange hovering object with red and green lights seen on Hendrix's campus.	3/13/15
3/11/15 21:30	Pictou Landing (Canada)	NS	Circle	40 seconds	Orange/red ball of light, arrived into field of view from southeast faster than a military jet, slowed, zig-zagged, turned to the north	3/13/15
3/11/15 21:00	Concord	NH	Triangle	3 minutes	Saw 3 solid white lights with flashing red light in the middle towards rear. Was low flying and slow and turned like a car,it didn't ba	3/13/15
3/11/15 21:00	Duluth	GA	Oval	45 minutes	"Bright pulsating white light with a red light on bottom, stationary for an hour.  ((NUFORC Note:  ""Twinkling"" star??  PD))"	3/13/15
3/11/15 20:40	Easton	PA	Circle	10 seconds	Bright yellow spheres hovering in big dipper constellation.	3/13/15
3/11/15 20:40	Easton	PA	Circle	10 seconds	2 bright yellow lights hovered in the Big Dipper, dimmed and moved slowly away.	3/13/15
3/11/15 20:32	Augusta	ME	Light	0.34	Light moving like satellite suddenly fades out and disappears	3/13/15
3/11/15 16:00	Baltimore	MD	Changing	2 hour	I can tell that it was really high in the air but it was so visible that it had to have been a very large craft.	3/13/15
3/11/15 07:23	Miami	FL	Flash	5 minutes	Yellow and Red streak over Miami sky 03/11/2015 07:23 am.	3/13/15
3/11/15 06:00	Lakewood	CO	Circle	1 minute	Circular bright light with trail of sparks/flames.  Moving very rapidly east to west at relatively low altitude (approx 2,500ft).	3/13/15
3/11/15 06:00	Greenwood Village	CO	Light	3-5 seconds	White fireball of light with a tail, like a meteor, flying low over Denver before disappearing.  ((NUFORC Note:  Meteor??  PD))	3/13/15
3/11/15 06:00	Evergreen	CO	Unknown	5-10 seconds	I saw an unidentifiable object low in the sky with sparks or fire coming from its rear.	3/20/15
3/11/15 05:13	Lansing	NY	Flash	5 seconds	Flash in the sky with colors, it wasn't the northern lights.	3/13/15
3/10/15 22:57	Cape Coral	FL	Circle	2 minutes	Red/Orange Orb seen in N/W Cape Coral on 3/10/15 that passed close to 2 aircraft.	5/8/15
3/10/15 21:45	Estero	FL	Circle	10 minutes	Thirty to forty red orbs Estero, Florida.	3/13/15
3/10/15 21:30	Ruidoso Downs	NM	Formation	3 minutes	Formation of 6 orange/yellow lights fading individually from left to right and re-emerging	3/13/15
3/10/15 16:00	Desert Hot Springs	CA	Circle	2 minutes	Unidentified flying object traveling through halo around sun.   ((NUFORC Note:  We suspect lens flares.  PD))	3/26/15
3/10/15 12:00	Madera Ranchos	CA	Cigar	1 minute	Pure white tube - west to east - disappeared - returned & hovered & disappeared again.	4/23/15
3/10/15 09:45	Los Angeles	CA	Unknown	5 minutes	L.A. Airport flight path bright as a diamond laser flittering flickering object	3/13/15
3/10/15 06:00	Ban Krut (Thailand)		Rectangle	10 minutes	Billboard of white light.	4/3/15
