Date/Time	City	State	Shape	Duration	Summary	Posted	Month	Day	Date	Time	Periods	Duration_Sec	US_STATE	Lat	Long
9/28/15 01:11	Muskegon	MI	Light	45-180 seconds	On the shore of Lake Michigan, we saw what looked like two normal stars, moving from north to south, one following the other.	9/29/15	9	28	9/28/15	01:11	1	180.0	1	43.234176293	-86.248389063
9/28/15 00:36	Lincoln	NE	Triangle	~2 hours	I can't believe this craft went undetected for so long!	10/9/15	9	28	9/28/15	00:36	1	7200.0	1	40.799995797	-96.666958041
9/28/15 00:00	Fontana	CA	Circle	20 minutes	"An odd ""bubble like"" unidentified, but seen by the naked eye; appeared close to moon during Super Moon Eclipse."	10/2/15	9	28	9/28/15	00:00	1	1200.0	1	34.09222953	-117.435049625
9/28/15	Radium Springs	NM	Other	~10 seconds	Thimble shaped Alien probe with slate blue color	5/6/16	9	28	9/28/15	9/28/15	-1	10.0	1	32.501197715	-106.928067992
9/27/15 23:30	Chincoteague Island	VA	Chevron	15 seconds	After the eclipse, while the blood moon was ending my friend and I saw a chevron shaped aircraft move to the right in a zig zag motion.	9/29/15	9	27	9/27/15	23:30	12	15.0	1	37.92993898	-75.36242856
9/27/15 22:45	Boise	ID	Light	2 seconds	A bright circular light. turned on then off.	9/29/15	9	27	9/27/15	22:45	12	2.0	1	43.613497133	-116.203445915
9/27/15 22:40	Garden Grove	CA	Unknown	14 seconds	a green round object running about the Moon, and then it hid behind the moon.  ((NUFORC Note:  Lens flare??  PD))	10/2/15	9	27	9/27/15	22:40	12	14.0	1	33.773909777	-117.941448188
9/27/15 22:35	Ridgway	PA	Light	10 minute	3 high elevation crafts with multi-color lights formed a triangle around the lunar lunar eclipse, then flew away.	9/29/15	9	27	9/27/15	22:35	12	600.0	1	41.420337749	-78.72863835
9/27/15 22:30	Warren	MI	Circle	90 seconds	2  bright orange/reddish circle craft flew by a few minutes apart, No sound.	9/29/15	9	27	9/27/15	22:30	12	90.0	1	42.477536935	-83.02769636
9/27/15 22:30	Bailey	CO	Circle	20 minutes	Red and blue flashing white moving round objects.	9/29/15	9	27	9/27/15	22:30	12	1200.0	1	39.405538038	-105.473329083
9/27/15 22:30	Boulder	CO	Sphere	2 minutes	Orb that split into two orbs.	9/29/15	9	27	9/27/15	22:30	12	120.0	1	40.014986457	-105.270545577
9/27/15 22:30	Bedford	NH	Formation	20 minutes	Three circular, flashing UFO's moving in erratic patterns before traveling away in a line.	9/29/15	9	27	9/27/15	22:30	12	1200.0	1	42.946467324	-71.515899893
9/27/15 22:30	Warren	MI	Circle	90 seconds	2  bright orange/reddish circle craft flew by a few minutes apart.  No sound.	9/29/15	9	27	9/27/15	22:30	12	90.0	1	42.477536935	-83.02769636
9/27/15 22:30	Batavia	NY	Light	1 minute	Red light with green blinking light hovered in SW sky then moved quickly to the side and downwards. Disappeared in the SW sky.	9/29/15	9	27	9/27/15	22:30	12	60.0	1	42.99811824	-78.187516368
9/27/15 22:18	Bremerton	WA	Circle	<1 minute	Circular object manuvers across sky during blood moon.	9/29/15	9	27	9/27/15	22:18	12	60.0	1	47.567318779	-122.632637402
9/27/15 22:18	Lowell	NH	Unknown	5 minutes	Blue light in the sky, north west of the bend in the Merrimack river.  Bright vivid blue.	9/29/15	9	27	9/27/15	22:18	12	300.0	1		
9/27/15 22:15	Stamford	CT	Oval	10 minutes	Glowing orb(s) multiple crafts.	9/29/15	9	27	9/27/15	22:15	12	600.0	1	41.053426808	-73.538726891
9/27/15 22:10	Coconut Creek	FL	Unknown	<5 minutes	Points of light in the night sky over Pompano Coconut Creek area moving in erratic fashion	9/29/15	9	27	9/27/15	22:10	12	300.0	1	26.251747278	-80.178936153
9/27/15 22:00	Boston	MA	Sphere	30+ minutes	A green planetoid looking sphere orbiting around the moon during the eclipse.	10/9/15	9	27	9/27/15	22:00	12	1800.0	1	42.358428005	-71.059766369
